 Optimized Parameter
a1 = ,       0.129861
a2 = ,       0.092130
a3 = ,       0.071060
a4 = ,       0.026365
b1 = ,       0.105627
b2 = ,       0.168369
z1 = ,      24.357044
z2 = ,      69.882225
z3 = ,     181.698578
s1 = ,       2.889612
s2 = ,       5.905749
s3 = ,       5.659482
Er = ,   80414.484375
NS = ,       0.665571

 No,rain(mm/h),q_obs(m3/s),q_cal(m3/s)
  505,   0.21500,   8.27000,   9.59460
  506,   0.19800,   8.42000,   9.63313
  507,   0.18290,   8.37000,   9.66683
  508,   0.16950,   7.95000,   9.69466
  509,   0.15740,   7.99000,   9.71576
  510,   0.14670,   8.18000,   9.72949
  511,   0.13700,   8.22000,   9.73537
  512,   0.12820,   7.17000,   9.73311
  513,   0.12040,   7.34000,   9.72254
  514,   0.11330,   7.59000,   9.70363
  515,   0.10690,   8.99000,   9.67644
  516,   0.11210,   6.63000,   9.64134
  517,   0.28040,   6.19000,   9.60173
  518,   0.50120,   7.72000,   9.56404
  519,   0.61910,   7.80000,   9.53498
  520,   0.60720,   7.93000,   9.51899
  521,   0.55890,   8.13000,   9.51815
  522,   0.49310,  10.30000,   9.53243
  523,   0.43700,   7.44000,   9.56048
  524,   0.39090,   5.50000,   9.60017
  525,   0.35210,   9.19000,   9.64898
  526,   0.31890,   8.32000,   9.70425
  527,   0.29000,   8.82000,   9.76339
  528,   0.26470,   8.82000,   9.82394
  529,   0.23930,   7.59000,   9.88364
  530,   0.21930,   8.23000,   9.94046
  531,   0.20180,   8.27000,   9.99271
  532,   0.18640,   7.57000,  10.03894
  533,   0.17270,   7.72000,  10.07802
  534,   0.16050,   7.76000,  10.10904
  535,   0.14960,   7.84000,  10.13137
  536,   0.19050,   7.29000,  10.14543
  537,   0.24370,   7.60000,  10.15265
  538,   0.35130,   7.80000,  10.15614
  539,   0.43930,   9.84000,  10.15973
  540,   0.91520,   6.91000,  10.17451
  541,   0.57910,   7.46000,  10.20239
  542,   0.27580,   9.93000,  10.23911
  543,   0.10640,  10.11000,  10.27840
  544,   0.60530,  12.32000,  10.32436
  545,   0.53450,  12.31000,  10.37852
  546,   0.59170,  12.66000,  10.44278
  547,   0.59150,  15.83000,  10.51824
  548,   0.45800,  13.16000,  10.60305
  549,   0.25970,  16.00000,  10.69215
  550,   0.29360,  16.24000,  10.78232
  551,   0.12420,  17.80000,  10.86822
  552,   0.14090,  18.46000,  10.94631
  553,   0.13390,  18.59000,  11.01407
  554,   0.10510,  21.34000,  11.06939
  555,   0.08470,  23.86000,  11.11066
  556,   0.30920,  23.70000,  11.14095
  557,   0.05940,  25.47000,  11.15837
  558,   0.05780,  26.38000,  11.16182
  559,   0.05640,  27.70000,  11.15084
  560,   0.05510,  27.31000,  11.12539
  561,   0.05400,  26.92000,  11.08580
  562,   0.07380,  25.10000,  11.03302
  563,   0.14570,  23.70000,  10.96933
  564,   0.26020,  23.70000,  10.89866
  565,   0.45470,  23.18000,  10.82747
  566,   0.47640,  23.18000,  10.76086
  567,   0.42950,  23.18000,  10.70161
  568,   0.39570,  23.18000,  10.65101
  569,   0.41590,  23.18000,  10.61015
  570,   0.35190,  23.18000,  10.57850
  571,   0.30420,  23.18000,  10.55463
  572,   0.27160,  23.02000,  10.53676
  573,   0.24510,  22.51000,  10.52300
  574,   0.22280,  22.18000,  10.51151
  575,   0.20370,  21.56000,  10.50055
  576,   0.18700,  20.60000,  10.48860
  577,   0.17330,  20.90000,  10.47431
  578,   0.16030,  19.80000,  10.45656
  579,   0.14880,  18.99000,  10.43443
  580,   0.13870,  18.99000,  10.40718
  581,   0.12960,  17.55000,  10.37427
  582,   0.12160,  17.68000,  10.33531
  583,   0.11440,  17.68000,  10.29005
  584,   0.10790,  17.01000,  10.23838
  585,   0.10200,  17.12000,  10.18030
  586,   0.10170,  17.12000,  10.11596
  587,   0.11190,  17.24000,  10.04586
  588,   1.66930,  17.12000,   9.99769
  589,   0.35850,  15.39000,   9.96813
  590,   0.23590,  18.29000,   9.95221
  591,   0.18550,  19.49000,   9.94512
  592,   0.16360,  19.23000,   9.94278
  593,   0.15370,  19.94000,   9.94197
  594,   0.16150,  19.94000,   9.94043
  595,   0.13600,  19.13000,   9.93611
  596,   0.12400,  18.20000,   9.92740
  597,   0.11440,  17.43000,   9.91306
  598,   0.10640,  17.43000,   9.89219
  599,   0.09950,  16.94000,   9.86419
  600,   0.09360,  16.35000,   9.82872
  601,   0.08900,  16.89000,   9.78562
  602,   0.08410,  17.24000,   9.73493
  603,   0.07990,  15.07000,   9.67679
  604,   0.07620,  14.63000,   9.61144
  605,   0.07300,  15.90000,   9.53922
  606,   0.07010,  14.83000,   9.46050
  607,   0.06760,  15.17000,   9.37572
  608,   0.26390,  14.24000,   9.28880
  609,   1.27170,  13.80000,   9.22026
  610,   3.05000,  14.17000,   9.21560
  611,   1.70810,  12.32000,   9.28278
  612,   2.19650,  15.02000,   9.43437
  613,   1.46970,  13.09000,   9.66467
  614,   1.27660,  18.60000,   9.96416
  615,   1.22290,  18.10000,  10.32323
  616,   1.02680,  15.91000,  10.72987
